algorithm,failure_time_mode,grid_size,runs,delta_t_targets_mean,delta_t_targets_ci95,delta_t_coverage_mean,delta_t_coverage_ci95,delta_mean_found_mean,delta_mean_found_ci95,delta_target_found_fraction_mean,delta_target_found_fraction_ci95,delta_coverage_fraction_mean,delta_coverage_fraction_ci95
stigmergy_random_walk,late,350,100,3998.56,1707.8734708694017,499.74,275.4199666423096,-0.008237532168300017,0.002475974904630909,-0.0010476190476190472,0.0008757452494093667,-0.001274285714285711,0.000669891082357584
stigmergy_random_walk,late,400,100,6515.07,1900.3841118874107,275.48,175.45267353384887,-0.01081119178995547,0.0027790576799207028,2.220446049250313e-18,0.0011373073522438911,-0.0008949375000000071,0.0005898933480121427
stigmergy_random_walk,late,450,100,7363.29,1903.0488349289774,157.4,116.9180644894517,-0.012427961618852689,0.002068479495937342,-0.0013333333333333352,0.0006648418972252783,-0.0010796049382716154,0.0005401081579130232
stigmergy_random_walk,late,500,100,7962.91,2199.2652280487755,42.79,71.86217037780366,-0.0108152679182693,0.001950455515565181,-0.0012666666666666716,0.0007588491019932508,-0.001047720000000002,0.00046437307247873354
stigmergy_random_walk,middle,50,100,446.88,219.6982142656714,699.17,239.3556730224245,0.011963994695865857,0.012624885120021214,-0.0006666666666666665,0.003937558878472369,-0.00015599999999999837,0.00031059511892982296
stigmergy_random_walk,middle,100,100,896.31,469.391952323001,1139.62,374.71577351677143,5.310657484907333e-05,0.0075318402328482395,-0.0006666666666666665,0.0013066666666666663,-0.0004620000000000024,0.0002914718831771413
stigmergy_random_walk,middle,150,100,1151.61,620.3248410020744,1451.17,365.5133110888424,-0.002230243535425955,0.004823344538620327,-0.0006666666666666676,0.0007467452259458233,-0.0008368888888888936,0.0003889506011964037
stigmergy_random_walk,middle,200,100,2237.57,922.2217451279436,1082.43,314.4322128449747,-0.010829826488775,0.004132402731807862,-0.0006666666666666676,0.0011296998598249197,-0.0011257499999999898,0.0004764288562224305
stigmergy_random_walk,middle,250,100,2941.56,1168.783674273017,669.89,242.7569202464927,-0.009763163112240755,0.0036882076250962393,-0.0014666666666666639,0.0010436821976741093,-0.0003507199999999855,0.00037493732423501345
stigmergy_random_walk,middle,300,100,3624.43,1445.2304057692957,784.29,307.7647405538461,-0.012381727599829938,0.0036682322781204186,-0.0005555555555555558,0.0013268585776178726,-0.0009623333333333384,0.0004992321948081959
stigmergy_random_walk,middle,350,100,4530.88,1724.699473791002,499.74,275.4199666423096,-0.014351475025439589,0.0033313920716747424,-0.0006666666666666655,0.0007146326943028512,-0.0008875918367346902,0.00044478615515114347
stigmergy_random_walk,middle,400,100,5644.53,1912.2765878650064,275.48,175.45267353384887,-0.015965402206573418,0.0034130545976605977,-0.001083333333333334,0.0017162761806220454,-0.0010530625000000104,0.0005863080219127846
stigmergy_random_walk,middle,450,100,8061.62,1893.5476304178192,157.4,116.9180644894517,-0.01440815421144444,0.0028341594594022508,-0.001629629629629632,0.0007604481161652526,-0.0011653333333333494,0.0003108278584202515
stigmergy_random_walk,middle,500,100,5890.38,2149.2427080349635,42.79,71.86217037780366,-0.015629558584871237,0.002342797750683997,-0.0007333333333333358,0.0006669186863712877,-0.0006995199999999968,0.00022991493843741402
stigmergy_random_walk,mixed,50,100,131.0,181.17842853826707,715.04,237.6781180726572,0.02086702220890365,0.010032606374094215,0.0019999999999999996,0.0029099663104872183,-0.00018800000000000815,0.0002744181004131185
stigmergy_random_walk,mixed,100,100,938.89,478.22182437485066,1241.76,358.9598711582366,-5.460062085514306e-05,0.00662429259193319,-0.00033333333333333327,0.0011354102577584544,-0.0005519999999999991,0.00040368945152020755
stigmergy_random_walk,mixed,150,100,1400.1,670.6843242021579,1416.9,365.0857059698656,-0.004036232963365643,0.006209589501357337,-0.0013333333333333342,0.0012099645310317605,-0.0010040000000000006,0.0005094852528057973
stigmergy_random_walk,mixed,200,100,2022.58,927.2905337542272,912.83,348.5440334153376,-0.011238364448629398,0.00539819098123777,-0.001166666666666668,0.0016904101335927589,-0.0016277499999999845,0.0012194863060673777
stigmergy_random_walk,mixed,250,100,2780.62,1040.2463519740907,580.79,267.9879756490186,-0.008957118948482976,0.004144773345771411,-0.0006666666666666655,0.000682384411346334,-0.0005286399999999991,0.0005248566930635282
stigmergy_random_walk,mixed,300,100,2524.78,1508.2760770453058,763.63,310.9521384726868,-0.008212733504766789,0.003582369230764273,-0.00011111111111111071,0.0008474162369156894,-0.0008746666666666758,0.00048206819087050207
stigmergy_random_walk,mixed,350,100,4378.03,1544.9117661130588,499.74,275.4199666423096,-0.012446294073050429,0.0034179663953288154,-0.0003809523809523796,0.0005252997647754796,-0.001230775510204073,0.0007043333592737622
stigmergy_random_walk,mixed,400,100,5458.59,1875.7344533167225,275.48,175.45267353384887,-0.016774475123234982,0.003371243293582865,-0.0004999999999999971,0.001224477441854961,-0.000953937500000015,0.000525164023086724
stigmergy_random_walk,mixed,450,100,7442.7,1954.5371554029941,157.4,116.9180644894517,-0.01617248672174211,0.0029958151306015363,-0.0014074074074074095,0.0008431656688813883,-0.001368296296296302,0.00046241082604014006
stigmergy_random_walk,mixed,500,100,6873.38,2229.0315327176204,42.79,71.86217037780366,-0.014394730584911973,0.002803757286451072,-0.00086666666666667,0.0006606832364643505,-0.0011274399999999995,0.00043544729653604186
stigmergy_search,early,50,100,40.68,21.83741853896794,101.19,34.09397090547586,0.03393450241510965,0.014599138869250817,0.0,0.0,0.0,0.0
stigmergy_search,early,100,100,133.45,57.23371788967363,215.64,71.76806729091379,0.018693031618663713,0.011697275489502827,0.0,0.0,0.0,0.0
stigmergy_search,early,150,100,317.0,85.7219099849901,397.84,107.83584537409563,0.026028101791515146,0.011909102782877752,0.0,0.0,0.0,0.0
stigmergy_search,early,200,100,424.99,116.01066335731576,539.55,123.72450926395325,0.020251605138664072,0.0107569803471019,0.0,0.0,0.0,0.0
stigmergy_search,early,250,100,454.38,155.15925482623305,799.63,216.0095886840305,0.033753921034324244,0.011433919244329668,0.0,0.0,0.0,0.0
stigmergy_search,early,300,100,554.72,149.8569279043006,927.91,186.90269043626293,0.03707590339996341,0.009187460726724044,0.0,0.0,0.0,0.0
stigmergy_search,early,350,100,749.04,222.41476254610166,984.69,233.3812926439997,0.023382780779046892,0.009270566555119502,0.0,0.0,0.0,0.0
stigmergy_search,early,400,100,803.57,230.61445147477576,1253.34,268.8779996110105,0.02589509224552197,0.010313049475431177,0.0,0.0,0.0,0.0
stigmergy_search,early,450,100,826.34,223.6150275944148,1561.38,371.8013705976248,0.030767644860519073,0.010654334304835103,0.0,0.0,0.0,0.0
stigmergy_search,early,500,100,1371.01,350.91213851787785,2209.03,456.40179226534127,0.04048361089737156,0.009881521629714864,0.0,0.0,0.0,0.0
stigmergy_search,late,50,100,0.9,1.072270356380198,7.72,8.613017727213435,0.0021034190282701124,0.002221812161446853,0.0,0.0,0.0,0.0
stigmergy_search,late,100,100,3.17,12.020754067071252,22.28,20.972121747970977,0.004727728391268388,0.0039007501891858733,0.0,0.0,0.0,0.0
stigmergy_search,late,150,100,37.74,45.06312224763675,95.37,75.94132558818357,0.009414175293010094,0.0059814485089809905,0.0,0.0,0.0,0.0
stigmergy_search,late,200,100,83.64,63.96291080235088,140.32,95.92460089197371,0.00881116504497843,0.006649284389066204,0.0,0.0,0.0,0.0
stigmergy_search,late,250,100,79.08,87.18721452312035,255.02,131.35225782125337,0.01392871760776449,0.006676906624395748,0.0,0.0,0.0,0.0
stigmergy_search,late,300,100,47.66,60.190896816261656,171.88,143.54592662488042,0.007399316722417877,0.006490970776346136,0.0,0.0,0.0,0.0
stigmergy_search,late,350,100,184.72,171.14358635440615,443.46,232.73591015572683,0.01515462785780822,0.006672961123344737,0.0,0.0,0.0,0.0
stigmergy_search,late,400,100,364.51,213.003244391278,732.96,357.17956526521056,0.02081397390583211,0.008840639746008417,0.0,0.0,0.0,0.0
stigmergy_search,late,450,100,339.75,193.56029066621045,794.06,438.9046695139549,0.018910750047917892,0.008606724218462147,0.0,0.0,0.0,0.0
stigmergy_search,late,500,100,560.14,305.18116201657045,1028.95,426.6937532361916,0.022355608620769983,0.008347355596520493,0.0,0.0,0.0,0.0
stigmergy_search,middle,50,100,10.16,8.393361546538378,47.51,18.810771266344915,0.020903460937181748,0.0074862787349262334,0.0,0.0,0.0,0.0
stigmergy_search,middle,100,100,88.31,43.852395006204645,192.47,61.248625719693585,0.03213942461060303,0.01084119545640608,0.0,0.0,0.0,0.0
stigmergy_search,middle,150,100,138.75,63.06254331417758,343.42,110.2991049661828,0.0350502304700921,0.01103254961326835,0.0,0.0,0.0,0.0
stigmergy_search,middle,200,100,314.58,103.96636614206277,543.53,138.4493913764546,0.03744595872164204,0.010386084929943763,0.0,0.0,0.0,0.0
stigmergy_search,middle,250,100,264.71,102.6383710008665,666.54,192.87213112448202,0.038009572404199395,0.011217536869215613,0.0,0.0,0.0,0.0
stigmergy_search,middle,300,100,373.81,144.64219380397503,724.1,187.6542832092779,0.03932903710505456,0.009806063492406302,0.0,0.0,0.0,0.0
stigmergy_search,middle,350,100,773.09,237.2721447401832,1014.32,277.9435068865716,0.036202772453667174,0.009908398357153065,0.0,0.0,0.0,0.0
stigmergy_search,middle,400,100,845.5,233.06409849531596,1559.58,382.9338788335694,0.0464713701108177,0.010756749744130212,0.0,0.0,0.0,0.0
stigmergy_search,middle,450,100,995.75,336.4851755868258,1969.2,493.2593733516605,0.04793408212450516,0.011341344989589771,0.0,0.0,0.0,0.0
stigmergy_search,middle,500,100,1334.29,392.75925500100414,2660.92,523.4713968167027,0.060456439680941776,0.010567608609068205,0.0,0.0,0.0,0.0
stigmergy_search,mixed,50,100,2.61,3.977087057258126,26.44,15.676493385674972,0.009438298188121932,0.005534614291032119,0.0,0.0,0.0,0.0
stigmergy_search,mixed,100,100,121.32,51.86083276649093,208.15,65.22362004672847,0.032372532558456145,0.01046134696308102,0.0,0.0,0.0,0.0
stigmergy_search,mixed,150,100,102.13,72.04980753918736,159.06,92.5818572218601,0.011801789693983098,0.01102246672884881,0.0,0.0,0.0,0.0
stigmergy_search,mixed,200,100,326.06,103.16146242761609,378.42,133.2512641523509,0.018609634044863894,0.010770841761563978,0.0,0.0,0.0,0.0
stigmergy_search,mixed,250,100,113.92,117.61518301449405,471.41,211.9629753048185,0.024321332663661332,0.010218114427757252,0.0,0.0,0.0,0.0
stigmergy_search,mixed,300,100,143.4,107.76955360678663,512.12,208.26265710203938,0.026882313231358177,0.010702767259281874,0.0,0.0,0.0,0.0
stigmergy_search,mixed,350,100,415.66,257.0392659634333,934.22,322.17276031977974,0.02977584227306755,0.010607252234004933,0.0,0.0,0.0,0.0
stigmergy_search,mixed,400,100,674.93,223.11984266630336,1170.03,340.29403993698145,0.036290689742249596,0.010489450746998436,0.0,0.0,0.0,0.0
stigmergy_search,mixed,450,100,775.63,339.44036137107634,1653.65,453.69868736812043,0.0422492371487996,0.011225111785934577,0.0,0.0,0.0,0.0
stigmergy_search,mixed,500,100,947.36,329.6491379785888,1865.0,423.2895628273221,0.045642137596896004,0.010778216010676451,0.0,0.0,0.0,0.0
