grid_size,n_robots,n_targets,n_failures,num_experiments,experiment_id,n_targets_found,t_targets_e2,t_coverage_e2,percent_coverage,mean_found_e2,algorithm,algorithm_label,experiment,simulation_id,failure_time_mode,horizon,target_found_fraction_e2,coverage_fraction_e2,t_targets_horizon_fraction_e2,t_coverage_horizon_fraction_e2,num_simulations,t_targets_e1,t_coverage_e1,t_targets_horizon_fraction_e1,t_coverage_horizon_fraction_e1,target_found_fraction_e1,coverage_fraction_e1,mean_found_e1,delta_t_targets,pct_change_t_targets,delta_t_coverage,pct_change_t_coverage,delta_t_targets_horizon_fraction,pct_change_t_targets_horizon_fraction,delta_t_coverage_horizon_fraction,pct_change_t_coverage_horizon_fraction,delta_target_found_fraction,delta_coverage_fraction,delta_mean_found
50,5,15,1,10,8,15,417,572,100.0,0.6899766899766915,stigmergy_search,Stigmergy Efficient Search,E2,2,early,5000.0,1.0,1.0,0.0834,0.1144,10.0,348,477,0.0696,0.0954,1.0,1.0,0.627672955974842,69,19.82758620689655,95,19.91614255765199,0.013800000000000007,19.827586206896562,0.019000000000000003,19.916142557651995,0.0,0.0,0.06230373400184952
50,5,15,1,10,8,15,782,790,100.0,0.6994092827004258,stigmergy_search,Stigmergy Efficient Search,E2,3,early,5000.0,1.0,1.0,0.1564,0.158,10.0,327,367,0.0654,0.0734,1.0,1.0,0.6468664850136259,455,139.14373088685014,423,115.25885558583107,0.09100000000000001,139.14373088685016,0.0846,115.25885558583104,0.0,0.0,0.052542797686799925
50,5,15,1,10,8,15,333,521,100.0,0.7154190658989128,stigmergy_search,Stigmergy Efficient Search,E2,4,early,5000.0,1.0,1.0,0.0666,0.1042,10.0,385,386,0.077,0.0772,1.0,1.0,0.6010362694300532,-52,-13.506493506493506,135,34.97409326424871,-0.010399999999999993,-13.506493506493497,0.026999999999999996,34.974093264248694,0.0,0.0,0.11438279646885963
50,5,15,1,10,8,15,315,628,100.0,0.8091295116772829,stigmergy_search,Stigmergy Efficient Search,E2,5,early,5000.0,1.0,1.0,0.063,0.1256,10.0,292,362,0.0584,0.0724,1.0,1.0,0.6976058931860034,23,7.876712328767123,266,73.48066298342542,0.0046,7.876712328767123,0.05319999999999998,73.48066298342538,0.0,0.0,0.11152361849127945
50,5,15,1,10,8,15,427,524,100.0,0.7175572519083989,stigmergy_search,Stigmergy Efficient Search,E2,6,early,5000.0,1.0,1.0,0.0854,0.1048,10.0,324,424,0.0648,0.0848,1.0,1.0,0.6798742138364787,103,31.790123456790127,100,23.58490566037736,0.020600000000000007,31.790123456790138,0.020000000000000004,23.584905660377363,0.0,0.0,0.037683038071920194
50,5,15,1,10,8,15,437,602,100.0,0.7490586932447403,stigmergy_search,Stigmergy Efficient Search,E2,7,early,5000.0,1.0,1.0,0.0874,0.1204,10.0,273,510,0.0546,0.102,1.0,1.0,0.7359477124183005,164,60.07326007326007,92,18.03921568627451,0.0328,60.07326007326007,0.0184,18.03921568627451,0.0,0.0,0.0131109808264398
50,5,15,1,10,8,15,446,632,100.0,0.7691983122362892,stigmergy_search,Stigmergy Efficient Search,E2,8,early,5000.0,1.0,1.0,0.0892,0.1264,10.0,476,597,0.0952,0.1194,1.0,1.0,0.7777777777777791,-30,-6.302521008403361,35,5.8626465661641545,-0.006000000000000005,-6.3025210084033665,0.007000000000000006,5.862646566164159,0.0,0.0,-0.008579465541489917
50,5,15,1,10,8,15,355,579,100.0,0.7950489349453088,stigmergy_search,Stigmergy Efficient Search,E2,9,early,5000.0,1.0,1.0,0.071,0.1158,10.0,312,497,0.0624,0.0994,1.0,1.0,0.7824279007377598,43,13.782051282051283,82,16.498993963782695,0.008599999999999997,13.782051282051277,0.016399999999999998,16.498993963782695,0.0,0.0,0.012621034207549009
50,5,15,1,10,8,15,289,548,100.0,0.7357664233576641,stigmergy_search,Stigmergy Efficient Search,E2,10,early,5000.0,1.0,1.0,0.0578,0.1096,10.0,289,394,0.0578,0.0788,1.0,1.0,0.6490693739424694,0,0.0,154,39.08629441624365,0.0,0.0,0.030800000000000008,39.08629441624367,0.0,0.0,0.08669704941519463
50,5,15,1,10,9,15,351,491,100.0,0.6945010183299398,stigmergy_search,Stigmergy Efficient Search,E2,1,early,5000.0,1.0,1.0,0.0702,0.0982,10.0,294,578,0.0588,0.1156,1.0,1.0,0.7534025374855825,57,19.387755102040817,-87,-15.051903114186851,0.0114,19.387755102040817,-0.0174,-15.051903114186851,0.0,0.0,-0.05890151915564268
50,5,15,1,10,9,15,420,675,100.0,0.7475555555555543,stigmergy_search,Stigmergy Efficient Search,E2,2,early,5000.0,1.0,1.0,0.084,0.135,10.0,370,558,0.074,0.1116,1.0,1.0,0.7437275985663094,50,13.513513513513514,117,20.967741935483872,0.010000000000000009,13.513513513513525,0.023400000000000004,20.967741935483875,0.0,0.0,0.003827956989244874
50,5,15,1,10,9,15,309,379,100.0,0.659982409850485,stigmergy_search,Stigmergy Efficient Search,E2,3,early,5000.0,1.0,1.0,0.0618,0.0758,10.0,312,621,0.0624,0.1242,1.0,1.0,0.7916264090177141,-3,-0.9615384615384616,-242,-38.969404186795494,-0.0005999999999999964,-0.9615384615384557,-0.0484,-38.96940418679549,0.0,0.0,-0.13164399916722913
50,5,15,1,10,9,15,500,524,100.0,0.6601781170483504,stigmergy_search,Stigmergy Efficient Search,E2,4,early,5000.0,1.0,1.0,0.1,0.1048,10.0,346,506,0.0692,0.1012,1.0,1.0,0.702898550724639,154,44.50867052023121,18,3.557312252964427,0.030800000000000008,44.50867052023123,0.003600000000000006,3.5573122529644325,0.0,0.0,-0.04272043367628864
50,5,15,1,10,9,15,468,881,100.0,0.795081346954217,stigmergy_search,Stigmergy Efficient Search,E2,5,early,5000.0,1.0,1.0,0.0936,0.1762,10.0,371,387,0.0742,0.0774,1.0,1.0,0.6049956933677838,97,26.1455525606469,494,127.6485788113695,0.0194,26.1455525606469,0.0988,127.6485788113695,0.0,0.0,0.19008565358643315
50,5,15,1,10,9,15,526,1242,100.0,0.83515834675255,stigmergy_search,Stigmergy Efficient Search,E2,6,early,5000.0,1.0,1.0,0.1052,0.2484,10.0,440,456,0.088,0.0912,1.0,1.0,0.618713450292399,86,19.545454545454547,786,172.36842105263156,0.017200000000000007,19.545454545454554,0.1572,172.36842105263156,0.0,0.0,0.21644489646015097
50,5,15,1,10,9,15,307,636,100.0,0.7361635220125791,stigmergy_search,Stigmergy Efficient Search,E2,7,early,5000.0,1.0,1.0,0.0614,0.1272,10.0,288,386,0.0576,0.0772,1.0,1.0,0.6046632124352325,19,6.597222222222222,250,64.76683937823834,0.0038000000000000048,6.59722222222223,0.05,64.76683937823834,0.0,0.0,0.1315003095773466
50,5,15,1,10,9,15,343,474,100.0,0.7405063291139248,stigmergy_search,Stigmergy Efficient Search,E2,8,early,5000.0,1.0,1.0,0.0686,0.0948,10.0,371,400,0.0742,0.08,1.0,1.0,0.6658333333333354,-28,-7.547169811320755,74,18.5,-0.005600000000000008,-7.5471698113207655,0.014799999999999994,18.499999999999993,0.0,0.0,0.07467299578058939
50,5,15,1,10,9,15,316,734,100.0,0.8141689373297004,stigmergy_search,Stigmergy Efficient Search,E2,9,early,5000.0,1.0,1.0,0.0632,0.1468,10.0,375,653,0.075,0.1306,1.0,1.0,0.7850944359367029,-59,-15.733333333333333,81,12.404287901990811,-0.011799999999999991,-15.733333333333322,0.01620000000000002,12.404287901990827,0.0,0.0,0.029074501392997498
