experiment,algorithm,grid_size,runs,t_targets_mean,t_targets_ci95,t_coverage_mean,t_coverage_ci95,mean_found_mean,mean_found_ci95,target_found_fraction_mean,target_found_fraction_ci95,percent_coverage_mean,percent_coverage_ci95,t_targets_horizon_fraction_mean,t_targets_horizon_fraction_ci95,t_coverage_horizon_fraction_mean,t_coverage_horizon_fraction_ci95
E2,centralized,500,40,3825.7,193.19791606456914,4318.7,200.5137968432916,0.6649225238870783,0.012874831599011607,1.0,0.0,100.0,0.0,0.076514,0.003863958321291383,0.08637399999999999,0.004010275936865832
E2,stigmergy_random_walk,50,400,1750.3425,78.15109384271474,3849.1875,85.8297156400188,0.868496558077899,0.004898275302644907,0.9990000000000001,0.0007951372679316454,99.9691,0.010601428794800702,0.3500685,0.01563021876854295,0.7698375,0.017165943128003767
E2,stigmergy_random_walk,100,400,4843.005,175.4039763134414,9158.355,106.34872756301121,0.8798590628736835,0.002980996290354184,0.9992500000000001,0.000485062846353213,99.93635,0.023143276622857558,0.48430049999999997,0.01754039763134414,0.9158355,0.010634872756301119
E2,stigmergy_random_walk,150,400,8044.305,253.993555968674,14621.8325,84.07155946987672,0.8863946070564594,0.00246599767758746,0.9990555555555557,0.0004909466705373145,99.88998888888888,0.028850006801823008,0.536287,0.016932903731244935,0.9747888333333333,0.005604770631325115
E2,stigmergy_random_walk,200,400,11993.4425,357.2484703744285,19810.5775,65.6752551846958,0.883821021385002,0.00229386673297237,0.9990416666666667,0.0005646055135799802,99.86536249999999,0.036885071989743945,0.599672125,0.01786242351872143,0.9905288750000001,0.00328376275923479
E2,stigmergy_random_walk,250,400,16299.175,472.2072250147044,24933.6175,30.441650142910007,0.8855060959475581,0.0018128727552599697,0.9984666666666666,0.0005012269390649746,99.896052,0.022830903112692185,0.6519670000000001,0.018888289000588178,0.9973446999999999,0.0012176660057164005
E2,stigmergy_random_walk,300,400,19973.7875,523.5668451750605,29979.8925,19.654295378895608,0.8864916111208123,0.001631958208107248,0.9988333333333332,0.0004801754967602729,99.87920277777778,0.029232850495096385,0.6657929166666666,0.017452228172502016,0.99932975,0.0006551431792965204
E2,stigmergy_random_walk,350,400,24109.6025,591.838768925394,35000.0,0.0,0.8860936680272943,0.0015969072496046454,0.9990000000000001,0.0003223355315998744,99.85611020408163,0.02930542301529297,0.6888457857142857,0.01690967911215411,1.0,0.0
E2,stigmergy_random_walk,400,400,29092.4475,698.4197905555858,40000.0,0.0,0.880001548437348,0.0015867226268123187,0.998375,0.0004987067583251906,99.8539078125,0.024859535456544617,0.7273111874999999,0.017460494763889643,1.0,0.0
E2,stigmergy_random_walk,450,400,33166.02,754.3473651394631,45000.0,0.0,0.8818729901235468,0.001401408840459698,0.9985185185185185,0.00036703370292142274,99.85841358024689,0.021390143906402818,0.7370226666666666,0.01676327478087696,1.0,0.0
E2,stigmergy_random_walk,500,400,38014.2575,785.2509378962447,50000.0,0.0,0.8810039166664305,0.0013636458318775986,0.9986833333333334,0.0003573929534796139,99.86485,0.019446596877151934,0.76028515,0.015705018757924894,1.0,0.0
E2,stigmergy_search,50,400,375.7275,9.562440527662785,524.535,13.461832011947509,0.7059126655204174,0.008484227542402197,1.0,0.0,100.0,0.0,0.0751455,0.001912488105532557,0.104907,0.0026923664023895022
E2,stigmergy_search,100,400,918.1825,26.579354704696467,1203.515,29.319487967489973,0.7438270548508957,0.006069264705550846,1.0,0.0,100.0,0.0,0.09181825,0.0026579354704696465,0.12035150000000001,0.0029319487967489977
E2,stigmergy_search,150,400,1517.305,39.84841293453735,1914.8325,47.5752273674592,0.7477009337137781,0.005745625444250081,1.0,0.0,100.0,0.0,0.10115366666666667,0.0026565608623024895,0.1276555,0.00317168182449728
E2,stigmergy_search,200,400,2157.9775,57.668904558265645,2707.715,62.495232577151675,0.7577818537604583,0.0054833223804795,1.0,0.0,100.0,0.0,0.10789887499999999,0.0028834452279132812,0.13538575,0.0031247616288575843
E2,stigmergy_search,250,400,2772.9025,71.64711438845569,3513.31,96.06201371266339,0.7630941270335972,0.005575254839150643,1.0,0.0,100.0,0.0,0.11091610000000002,0.002865884575538228,0.1405324,0.003842480548506536
E2,stigmergy_search,300,400,3301.3575,76.15772928115655,4131.0725,94.34660252116763,0.7597017563635877,0.004877497396700747,1.0,0.0,100.0,0.0,0.11004525000000001,0.002538590976038552,0.13770241666666666,0.0031448867507055875
E2,stigmergy_search,350,400,4304.7375,125.79967134117739,5268.4625,133.89253734770992,0.7811238180724746,0.004562049254886551,1.0,0.0,100.0,0.0,0.1229925,0.0035942763240336393,0.1505275,0.0038255010670774268
E2,stigmergy_search,400,400,5118.8375,126.99036558678,6389.6675,159.64931320354523,0.7877509150535861,0.004496313183253963,1.0,0.0,100.0,0.0,0.1279709375,0.003174759139669499,0.1597416875,0.003991232830088631
E2,stigmergy_search,450,400,5729.8275,150.08219824878947,7224.6925,212.32442018196065,0.7891016363476523,0.004732428944310153,1.0,0.0,100.0,0.0,0.1273295,0.0033351599610842108,0.16054872222222222,0.004718320448488016
E2,stigmergy_search,500,400,6534.19,184.8944632125913,8215.025,227.972670402097,0.7988618194612431,0.004841092550162798,1.0,0.0,100.0,0.0,0.13068380000000002,0.003697889264251826,0.16430050000000002,0.00455945340804194
