grid_size,n_robots,n_targets,n_failures,num_experiments,experiment_id,n_targets_found,t_targets,t_coverage,percent_coverage,mean_found,algorithm,algorithm_label,experiment,simulation_id,failure_time_mode,horizon,target_found_fraction,coverage_fraction,t_targets_horizon_fraction,t_coverage_horizon_fraction,num_simulations
300,30,90,0,10,7,90,1969,2133,100.0,0.6225243527634481,centralized,Centralized,E1,0,no_failure,30000.0,1.0,1.0,0.06563333333333334,0.0711,
300,30,90,0,10,8,90,2185,2287,100.0,0.5870281300101988,centralized,Centralized,E1,0,no_failure,30000.0,1.0,1.0,0.07283333333333333,0.07623333333333333,
300,30,90,0,10,9,90,1921,2162,100.0,0.6643437146674879,centralized,Centralized,E1,0,no_failure,30000.0,1.0,1.0,0.06403333333333333,0.07206666666666667,
300,30,90,0,10,10,90,1859,2045,100.0,0.5640369464819344,centralized,Centralized,E1,0,no_failure,30000.0,1.0,1.0,0.06196666666666667,0.06816666666666667,
350,35,105,0,10,1,105,2069,2529,100.0,0.5759400478261704,centralized,Centralized,E1,0,no_failure,35000.0,1.0,1.0,0.059114285714285716,0.07225714285714285,
350,35,105,0,10,2,105,2124,2330,100.0,0.6133946454118154,centralized,Centralized,E1,0,no_failure,35000.0,1.0,1.0,0.06068571428571429,0.06657142857142857,
350,35,105,0,10,3,105,2391,2470,100.0,0.5966724503566595,centralized,Centralized,E1,0,no_failure,35000.0,1.0,1.0,0.06831428571428572,0.07057142857142858,
350,35,105,0,10,4,105,2253,2452,100.0,0.539979025868094,centralized,Centralized,E1,0,no_failure,35000.0,1.0,1.0,0.06437142857142857,0.07005714285714286,
350,35,105,0,10,5,105,2225,2522,100.0,0.6199388240625361,centralized,Centralized,E1,0,no_failure,35000.0,1.0,1.0,0.06357142857142857,0.07205714285714286,
350,35,105,0,10,6,105,2504,2540,100.0,0.6382977127858945,centralized,Centralized,E1,0,no_failure,35000.0,1.0,1.0,0.07154285714285714,0.07257142857142856,
350,35,105,0,10,7,105,2354,2567,100.0,0.632107147494756,centralized,Centralized,E1,0,no_failure,35000.0,1.0,1.0,0.06725714285714286,0.07334285714285714,
350,35,105,0,10,8,105,2266,2415,100.0,0.5658680863649821,centralized,Centralized,E1,0,no_failure,35000.0,1.0,1.0,0.06474285714285714,0.069,
350,35,105,0,10,9,105,2396,2567,100.0,0.6165358858775267,centralized,Centralized,E1,0,no_failure,35000.0,1.0,1.0,0.06845714285714286,0.07334285714285714,
350,35,105,0,10,10,105,2225,2544,100.0,0.631622491764,centralized,Centralized,E1,0,no_failure,35000.0,1.0,1.0,0.06357142857142857,0.07268571428571428,
400,40,120,0,10,1,120,2717,2955,100.0,0.5977270163564582,centralized,Centralized,E1,0,no_failure,40000.0,1.0,1.0,0.067925,0.073875,
400,40,120,0,10,2,120,2480,2742,100.0,0.5551027230731759,centralized,Centralized,E1,0,no_failure,40000.0,1.0,1.0,0.062,0.06855,
400,40,120,0,10,3,120,2923,3213,100.0,0.6437467579624252,centralized,Centralized,E1,0,no_failure,40000.0,1.0,1.0,0.073075,0.080325,
400,40,120,0,10,4,120,2494,2767,100.0,0.5703589928924173,centralized,Centralized,E1,0,no_failure,40000.0,1.0,1.0,0.06235,0.069175,
400,40,120,0,10,5,120,2715,3045,100.0,0.6276792556102921,centralized,Centralized,E1,0,no_failure,40000.0,1.0,1.0,0.067875,0.076125,
400,40,120,0,10,6,120,2583,3222,100.0,0.6649622387750831,centralized,Centralized,E1,0,no_failure,40000.0,1.0,1.0,0.064575,0.08055,
400,40,120,0,10,7,120,2644,2757,100.0,0.5766140732680413,centralized,Centralized,E1,0,no_failure,40000.0,1.0,1.0,0.0661,0.068925,
400,40,120,0,10,8,120,3045,3069,100.0,0.6128787878787654,centralized,Centralized,E1,0,no_failure,40000.0,1.0,1.0,0.076125,0.076725,
400,40,120,0,10,9,120,2881,3150,100.0,0.6336878306878166,centralized,Centralized,E1,0,no_failure,40000.0,1.0,1.0,0.072025,0.07875,
400,40,120,0,10,10,120,2848,2930,100.0,0.6186205915813364,centralized,Centralized,E1,0,no_failure,40000.0,1.0,1.0,0.0712,0.07325,
450,45,135,0,10,1,135,2899,3098,100.0,0.5929225545752337,centralized,Centralized,E1,0,no_failure,45000.0,1.0,1.0,0.06442222222222223,0.06884444444444444,
450,45,135,0,10,2,135,2964,3203,100.0,0.6525548964512541,centralized,Centralized,E1,0,no_failure,45000.0,1.0,1.0,0.06586666666666667,0.07117777777777778,
450,45,135,0,10,3,135,2870,3021,100.0,0.569367513822994,centralized,Centralized,E1,0,no_failure,45000.0,1.0,1.0,0.06377777777777778,0.06713333333333334,
450,45,135,0,10,4,135,2998,3144,100.0,0.5724790311940471,centralized,Centralized,E1,0,no_failure,45000.0,1.0,1.0,0.06662222222222222,0.06986666666666666,
450,45,135,0,10,5,135,3185,3694,100.0,0.657079548416865,centralized,Centralized,E1,0,no_failure,45000.0,1.0,1.0,0.07077777777777777,0.08208888888888889,
450,45,135,0,10,6,135,3103,3347,100.0,0.6100786774225777,centralized,Centralized,E1,0,no_failure,45000.0,1.0,1.0,0.06895555555555556,0.07437777777777778,
450,45,135,0,10,7,135,2787,3151,100.0,0.6004795655700133,centralized,Centralized,E1,0,no_failure,45000.0,1.0,1.0,0.06193333333333333,0.07002222222222222,
450,45,135,0,10,8,135,3068,3277,100.0,0.6430135964466185,centralized,Centralized,E1,0,no_failure,45000.0,1.0,1.0,0.06817777777777778,0.07282222222222222,
450,45,135,0,10,9,135,2991,3099,100.0,0.604668172528779,centralized,Centralized,E1,0,no_failure,45000.0,1.0,1.0,0.06646666666666666,0.06886666666666667,
450,45,135,0,10,10,135,2749,3241,100.0,0.6242152056406911,centralized,Centralized,E1,0,no_failure,45000.0,1.0,1.0,0.06108888888888889,0.07202222222222222,
500,50,150,0,10,1,150,3186,3736,100.0,0.5777480371163485,centralized,Centralized,E1,0,no_failure,50000.0,1.0,1.0,0.06372,0.07472,
500,50,150,0,10,2,150,3490,3758,100.0,0.6341014724144163,centralized,Centralized,E1,0,no_failure,50000.0,1.0,1.0,0.0698,0.07516,
500,50,150,0,10,3,150,3535,3816,100.0,0.6191736547868706,centralized,Centralized,E1,0,no_failure,50000.0,1.0,1.0,0.0707,0.07632,
500,50,150,0,10,4,150,3323,3879,100.0,0.6491088768583005,centralized,Centralized,E1,0,no_failure,50000.0,1.0,1.0,0.06646,0.07758,
500,50,150,0,10,5,150,3605,3918,100.0,0.6364726901480384,centralized,Centralized,E1,0,no_failure,50000.0,1.0,1.0,0.0721,0.07836,
500,50,150,0,10,6,150,3901,4101,100.0,0.6663870600666527,centralized,Centralized,E1,0,no_failure,50000.0,1.0,1.0,0.07802,0.08202,
500,50,150,0,10,7,150,3335,3656,100.0,0.6185302698760073,centralized,Centralized,E1,0,no_failure,50000.0,1.0,1.0,0.0667,0.07312,
500,50,150,0,10,8,150,3117,3735,100.0,0.6614404283801892,centralized,Centralized,E1,0,no_failure,50000.0,1.0,1.0,0.06234,0.0747,
500,50,150,0,10,9,150,3263,3599,100.0,0.6217949430397411,centralized,Centralized,E1,0,no_failure,50000.0,1.0,1.0,0.06526,0.07198,
500,50,150,0,10,10,150,3378,3642,100.0,0.6540362438220789,centralized,Centralized,E1,0,no_failure,50000.0,1.0,1.0,0.06756,0.07284,
50,5,15,1,10,1,15,335,349,100.0,0.5025787965616051,centralized,Centralized,E2,0,mixed,5000.0,1.0,1.0,0.067,0.0698,
50,5,15,1,10,2,15,348,353,100.0,0.465722379603399,centralized,Centralized,E2,0,mixed,5000.0,1.0,1.0,0.0696,0.0706,
50,5,15,1,10,3,15,268,340,100.0,0.6211764705882362,centralized,Centralized,E2,0,mixed,5000.0,1.0,1.0,0.0536,0.068,
50,5,15,1,10,4,15,281,350,100.0,0.5984761904761908,centralized,Centralized,E2,0,mixed,5000.0,1.0,1.0,0.0562,0.07,
50,5,15,1,10,5,15,338,347,100.0,0.6384245917387128,centralized,Centralized,E2,0,mixed,5000.0,1.0,1.0,0.0676,0.0694,
50,5,15,1,10,6,15,359,364,100.0,0.5126373626373626,centralized,Centralized,E2,0,mixed,5000.0,1.0,1.0,0.0718,0.0728,
50,5,15,1,10,7,15,309,323,100.0,0.4078431372549017,centralized,Centralized,E2,0,mixed,5000.0,1.0,1.0,0.0618,0.0646,
50,5,15,1,10,8,15,291,349,100.0,0.5134670487106014,centralized,Centralized,E2,0,mixed,5000.0,1.0,1.0,0.0582,0.0698,
50,5,15,1,10,9,15,303,338,100.0,0.5706114398422092,centralized,Centralized,E2,0,mixed,5000.0,1.0,1.0,0.0606,0.0676,
50,5,15,1,10,10,15,312,362,100.0,0.6631675874769809,centralized,Centralized,E2,0,mixed,5000.0,1.0,1.0,0.0624,0.0724,
50,5,15,1,10,1,15,453,489,100.0,0.5983640081799605,centralized,Centralized,E2,0,early,5000.0,1.0,1.0,0.0906,0.0978,
50,5,15,1,10,2,15,481,485,100.0,0.5745704467353966,centralized,Centralized,E2,0,early,5000.0,1.0,1.0,0.0962,0.097,
50,5,15,1,10,3,15,398,431,100.0,0.6782675947409144,centralized,Centralized,E2,0,early,5000.0,1.0,1.0,0.0796,0.0862,
50,5,15,1,10,4,15,420,489,100.0,0.6747102931152024,centralized,Centralized,E2,0,early,5000.0,1.0,1.0,0.084,0.0978,
50,5,15,1,10,5,15,338,456,100.0,0.7042397660818723,centralized,Centralized,E2,0,early,5000.0,1.0,1.0,0.0676,0.0912,
50,5,15,1,10,6,15,534,536,100.0,0.6022388059701504,centralized,Centralized,E2,0,early,5000.0,1.0,1.0,0.1068,0.1072,
50,5,15,1,10,7,15,309,533,100.0,0.6411507191994995,centralized,Centralized,E2,0,early,5000.0,1.0,1.0,0.0618,0.1066,
50,5,15,1,10,8,15,397,457,100.0,0.604668125455872,centralized,Centralized,E2,0,early,5000.0,1.0,1.0,0.0794,0.0914,
50,5,15,1,10,9,15,426,439,100.0,0.613363705391042,centralized,Centralized,E2,0,early,5000.0,1.0,1.0,0.0852,0.0878,
50,5,15,1,10,10,15,464,512,100.0,0.722265625000003,centralized,Centralized,E2,0,early,5000.0,1.0,1.0,0.0928,0.1024,
50,5,15,1,10,1,15,335,349,100.0,0.5025787965616051,centralized,Centralized,E2,0,middle,5000.0,1.0,1.0,0.067,0.0698,
50,5,15,1,10,2,15,400,404,100.0,0.5245874587458746,centralized,Centralized,E2,0,middle,5000.0,1.0,1.0,0.08,0.0808,
50,5,15,1,10,3,15,268,340,100.0,0.6211764705882362,centralized,Centralized,E2,0,middle,5000.0,1.0,1.0,0.0536,0.068,
50,5,15,1,10,4,15,281,365,100.0,0.6149771689497721,centralized,Centralized,E2,0,middle,5000.0,1.0,1.0,0.0562,0.073,
50,5,15,1,10,5,15,338,347,100.0,0.6384245917387128,centralized,Centralized,E2,0,middle,5000.0,1.0,1.0,0.0676,0.0694,
50,5,15,1,10,6,15,426,428,100.0,0.5744548286604367,centralized,Centralized,E2,0,middle,5000.0,1.0,1.0,0.0852,0.0856,
50,5,15,1,10,7,15,309,323,100.0,0.4078431372549017,centralized,Centralized,E2,0,middle,5000.0,1.0,1.0,0.0618,0.0646,
50,5,15,1,10,8,15,291,349,100.0,0.5134670487106014,centralized,Centralized,E2,0,middle,5000.0,1.0,1.0,0.0582,0.0698,
50,5,15,1,10,9,15,303,338,100.0,0.5706114398422092,centralized,Centralized,E2,0,middle,5000.0,1.0,1.0,0.0606,0.0676,
50,5,15,1,10,10,15,312,392,100.0,0.6889455782312935,centralized,Centralized,E2,0,middle,5000.0,1.0,1.0,0.0624,0.0784,
50,5,15,1,10,1,15,335,349,100.0,0.5025787965616051,centralized,Centralized,E2,0,late,5000.0,1.0,1.0,0.067,0.0698,
50,5,15,1,10,2,15,348,353,100.0,0.465722379603399,centralized,Centralized,E2,0,late,5000.0,1.0,1.0,0.0696,0.0706,
50,5,15,1,10,3,15,268,340,100.0,0.6211764705882362,centralized,Centralized,E2,0,late,5000.0,1.0,1.0,0.0536,0.068,
50,5,15,1,10,4,15,281,350,100.0,0.5984761904761908,centralized,Centralized,E2,0,late,5000.0,1.0,1.0,0.0562,0.07,
50,5,15,1,10,5,15,338,347,100.0,0.6384245917387128,centralized,Centralized,E2,0,late,5000.0,1.0,1.0,0.0676,0.0694,
50,5,15,1,10,6,15,359,364,100.0,0.5126373626373626,centralized,Centralized,E2,0,late,5000.0,1.0,1.0,0.0718,0.0728,
50,5,15,1,10,7,15,309,323,100.0,0.4078431372549017,centralized,Centralized,E2,0,late,5000.0,1.0,1.0,0.0618,0.0646,
50,5,15,1,10,8,15,291,349,100.0,0.5134670487106014,centralized,Centralized,E2,0,late,5000.0,1.0,1.0,0.0582,0.0698,
50,5,15,1,10,9,15,303,338,100.0,0.5706114398422092,centralized,Centralized,E2,0,late,5000.0,1.0,1.0,0.0606,0.0676,
50,5,15,1,10,10,15,312,362,100.0,0.6631675874769809,centralized,Centralized,E2,0,late,5000.0,1.0,1.0,0.0624,0.0724,
100,10,30,2,10,1,30,569,755,100.0,0.5800000000000007,centralized,Centralized,E2,0,mixed,10000.0,1.0,1.0,0.0569,0.0755,
100,10,30,2,10,2,30,655,765,100.0,0.5413507625272307,centralized,Centralized,E2,0,mixed,10000.0,1.0,1.0,0.0655,0.0765,
100,10,30,2,10,3,30,804,844,100.0,0.6309636650868813,centralized,Centralized,E2,0,mixed,10000.0,1.0,1.0,0.0804,0.0844,
100,10,30,2,10,4,30,615,797,100.0,0.6591384358009184,centralized,Centralized,E2,0,mixed,10000.0,1.0,1.0,0.0615,0.0797,
100,10,30,2,10,5,30,675,723,100.0,0.623328722913783,centralized,Centralized,E2,0,mixed,10000.0,1.0,1.0,0.0675,0.0723,
100,10,30,2,10,6,30,632,766,100.0,0.7140121845082648,centralized,Centralized,E2,0,mixed,10000.0,1.0,1.0,0.0632,0.0766,
100,10,30,2,10,7,30,636,654,100.0,0.4176860346585118,centralized,Centralized,E2,0,mixed,10000.0,1.0,1.0,0.0636,0.0654,
100,10,30,2,10,8,30,597,748,100.0,0.5749554367201432,centralized,Centralized,E2,0,mixed,10000.0,1.0,1.0,0.0597,0.0748,
100,10,30,2,10,9,30,655,708,100.0,0.6169020715630869,centralized,Centralized,E2,0,mixed,10000.0,1.0,1.0,0.0655,0.0708,
100,10,30,2,10,10,30,636,720,100.0,0.6200462962962922,centralized,Centralized,E2,0,mixed,10000.0,1.0,1.0,0.0636,0.072,
100,10,30,2,10,1,30,979,1046,100.0,0.6562141491395717,centralized,Centralized,E2,0,early,10000.0,1.0,1.0,0.0979,0.1046,
100,10,30,2,10,2,30,975,1085,100.0,0.6362211981566761,centralized,Centralized,E2,0,early,10000.0,1.0,1.0,0.0975,0.1085,
100,10,30,2,10,3,30,1007,1047,100.0,0.6712830308818871,centralized,Centralized,E2,0,early,10000.0,1.0,1.0,0.1007,0.1047,
100,10,30,2,10,4,30,1001,1123,100.0,0.7449391510834081,centralized,Centralized,E2,0,early,10000.0,1.0,1.0,0.1001,0.1123,
100,10,30,2,10,5,30,938,1003,100.0,0.6710202725157872,centralized,Centralized,E2,0,early,10000.0,1.0,1.0,0.0938,0.1003,
100,10,30,2,10,6,30,1063,1127,100.0,0.7665779355220417,centralized,Centralized,E2,0,early,10000.0,1.0,1.0,0.1063,0.1127,
100,10,30,2,10,7,30,858,1005,100.0,0.555920398009949,centralized,Centralized,E2,0,early,10000.0,1.0,1.0,0.0858,0.1005,
100,10,30,2,10,8,30,961,1060,100.0,0.6481761006289304,centralized,Centralized,E2,0,early,10000.0,1.0,1.0,0.0961,0.106,
100,10,30,2,10,9,30,687,1022,100.0,0.7202217873450756,centralized,Centralized,E2,0,early,10000.0,1.0,1.0,0.0687,0.1022,
100,10,30,2,10,10,30,1010,1048,100.0,0.708492366412216,centralized,Centralized,E2,0,early,10000.0,1.0,1.0,0.101,0.1048,
100,10,30,2,10,1,30,569,681,100.0,0.5343612334801771,centralized,Centralized,E2,0,middle,10000.0,1.0,1.0,0.0569,0.0681,
100,10,30,2,10,2,30,649,769,100.0,0.5493281317728627,centralized,Centralized,E2,0,middle,10000.0,1.0,1.0,0.0649,0.0769,
100,10,30,2,10,3,30,786,840,100.0,0.6299206349206291,centralized,Centralized,E2,0,middle,10000.0,1.0,1.0,0.0786,0.084,
100,10,30,2,10,4,30,615,792,100.0,0.6569865319865301,centralized,Centralized,E2,0,middle,10000.0,1.0,1.0,0.0615,0.0792,
100,10,30,2,10,5,30,675,723,100.0,0.6266482249884688,centralized,Centralized,E2,0,middle,10000.0,1.0,1.0,0.0675,0.0723,
100,10,30,2,10,6,30,686,750,100.0,0.7055111111111058,centralized,Centralized,E2,0,middle,10000.0,1.0,1.0,0.0686,0.075,
100,10,30,2,10,7,30,636,654,100.0,0.4176860346585118,centralized,Centralized,E2,0,middle,10000.0,1.0,1.0,0.0636,0.0654,
100,10,30,2,10,8,30,597,748,100.0,0.5749554367201432,centralized,Centralized,E2,0,middle,10000.0,1.0,1.0,0.0597,0.0748,
100,10,30,2,10,9,30,655,708,100.0,0.616101694915252,centralized,Centralized,E2,0,middle,10000.0,1.0,1.0,0.0655,0.0708,
100,10,30,2,10,10,30,636,720,100.0,0.6200462962962922,centralized,Centralized,E2,0,middle,10000.0,1.0,1.0,0.0636,0.072,
100,10,30,2,10,1,30,569,644,100.0,0.5076086956521748,centralized,Centralized,E2,0,late,10000.0,1.0,1.0,0.0569,0.0644,
100,10,30,2,10,2,30,649,692,100.0,0.4991811175337158,centralized,Centralized,E2,0,late,10000.0,1.0,1.0,0.0649,0.0692,
100,10,30,2,10,3,30,619,736,100.0,0.5851902173913036,centralized,Centralized,E2,0,late,10000.0,1.0,1.0,0.0619,0.0736,
100,10,30,2,10,4,30,615,680,100.0,0.6004901960784291,centralized,Centralized,E2,0,late,10000.0,1.0,1.0,0.0615,0.068,
100,10,30,2,10,5,30,675,723,100.0,0.6266482249884688,centralized,Centralized,E2,0,late,10000.0,1.0,1.0,0.0675,0.0723,
100,10,30,2,10,6,30,628,692,100.0,0.6836223506743703,centralized,Centralized,E2,0,late,10000.0,1.0,1.0,0.0628,0.0692,
100,10,30,2,10,7,30,636,654,100.0,0.4176860346585118,centralized,Centralized,E2,0,late,10000.0,1.0,1.0,0.0636,0.0654,
100,10,30,2,10,8,30,597,659,100.0,0.5175518462316648,centralized,Centralized,E2,0,late,10000.0,1.0,1.0,0.0597,0.0659,
100,10,30,2,10,9,30,655,708,100.0,0.616101694915252,centralized,Centralized,E2,0,late,10000.0,1.0,1.0,0.0655,0.0708,
100,10,30,2,10,10,30,636,666,100.0,0.5892392392392347,centralized,Centralized,E2,0,late,10000.0,1.0,1.0,0.0636,0.0666,
