grid_size,n_search_robots,target_x,target_y,requested_distance_shell,spawn_position_id,search_starts,search_start_distances,actual_min_start_distance,actual_mean_start_distance,algorithm_seed,max_horizon,found,found_robot_id,steps_to_target,optimal_manhattan_steps,excess_steps_over_optimal,slowdown_ratio,path_efficiency,time_to_attractive_detection,time_from_detection_to_target,post_detection_path_efficiency,convergence_rate,stagnation_count,mode_switch_step,success_rate,steps_per_start_distance,detection_fraction_of_total_time
50,2,25,25,50,4,"0,1;0,49",49;49,49,49,544505,12500,1,1,48,49,-1,0.9795918367346939,1.020833333333333,43,5,1.4,1.2,0,43,1.0,0.9795918367346939,0.8958333333333334
50,2,25,25,50,4,"0,1;0,49",49;49,49,49,544506,12500,1,1,96,49,47,1.959183673469388,0.5104166666666666,89,7,1.285714285714286,1.142857142857143,24,89,1.0,1.9591836734693877,0.9270833333333334
50,2,25,25,50,4,"0,1;0,49",49;49,49,49,544507,12500,1,1,48,49,-1,0.9795918367346939,1.020833333333333,43,5,1.4,1.2,0,43,1.0,0.9795918367346939,0.8958333333333334
50,2,25,25,50,4,"0,1;0,49",49;49,49,49,544508,12500,1,1,196,49,147,4.0,0.25,183,13,1.153846153846154,1.076923076923077,74,183,1.0,4.0,0.9336734693877551
50,2,25,25,50,4,"0,1;0,49",49;49,49,49,544509,12500,1,2,290,49,241,5.918367346938775,0.1689655172413793,278,12,1.166666666666667,1.083333333333333,121,278,1.0,5.918367346938775,0.9586206896551724
50,2,25,25,50,4,"0,1;0,49",49;49,49,49,544510,12500,1,2,290,49,241,5.918367346938775,0.1689655172413793,278,12,1.166666666666667,1.083333333333333,121,278,1.0,5.918367346938775,0.9586206896551724
50,3,25,25,20,1,"6,24;45,25;5,25",20;20;20,20,20,545201,12500,1,1,19,20,-1,0.95,1.052631578947368,16,3,1.666666666666667,1.333333333333333,0,16,1.0,0.95,0.8421052631578947
50,3,25,25,20,1,"6,24;45,25;5,25",20;20;20,20,20,545202,12500,1,2,75,20,55,3.75,0.2666666666666667,69,6,1.333333333333333,1.166666666666667,28,69,1.0,3.75,0.92
50,3,25,25,20,1,"6,24;45,25;5,25",20;20;20,20,20,545203,12500,1,1,125,20,105,6.25,0.16,119,6,1.333333333333333,1.166666666666667,53,119,1.0,6.25,0.952
50,3,25,25,20,1,"6,24;45,25;5,25",20;20;20,20,20,545204,12500,1,1,67,20,47,3.35,0.2985074626865671,63,4,1.5,1.25,24,63,1.0,3.35,0.9402985074626866
50,3,25,25,20,1,"6,24;45,25;5,25",20;20;20,20,20,545205,12500,1,2,19,20,-1,0.95,1.052631578947368,17,2,2.0,1.5,0,17,1.0,0.95,0.8947368421052632
50,3,25,25,20,1,"6,24;45,25;5,25",20;20;20,20,20,545206,12500,1,2,75,20,55,3.75,0.2666666666666667,67,8,1.25,1.125,28,67,1.0,3.75,0.8933333333333333
50,3,25,25,20,1,"6,24;45,25;5,25",20;20;20,20,20,545207,12500,1,3,187,20,167,9.35,0.106951871657754,171,16,1.125,1.0625,84,171,1.0,9.35,0.9144385026737968
50,3,25,25,20,1,"6,24;45,25;5,25",20;20;20,20,20,545208,12500,1,1,75,20,55,3.75,0.2666666666666667,67,8,1.25,1.125,28,67,1.0,3.75,0.8933333333333333
50,3,25,25,20,1,"6,24;45,25;5,25",20;20;20,20,20,545209,12500,1,1,19,20,-1,0.95,1.052631578947368,16,3,1.666666666666667,1.333333333333333,0,16,1.0,0.95,0.8421052631578947
50,3,25,25,20,1,"6,24;45,25;5,25",20;20;20,20,20,545210,12500,1,1,19,20,-1,0.95,1.052631578947368,16,3,1.666666666666667,1.333333333333333,0,16,1.0,0.95,0.8421052631578947
50,3,25,25,30,2,"0,20;48,18;0,30",30;30;30,30,30,545301,12500,1,1,207,30,177,6.9,0.1449275362318841,191,16,1.125,1.0625,89,191,1.0,6.9,0.9227053140096618
50,3,25,25,30,2,"0,20;48,18;0,30",30;30;30,30,30,545302,12500,1,1,29,30,-1,0.9666666666666667,1.03448275862069,26,3,1.666666666666667,1.333333333333333,0,26,1.0,0.9666666666666667,0.896551724137931
50,3,25,25,30,2,"0,20;48,18;0,30",30;30;30,30,30,545303,12500,1,1,203,30,173,6.766666666666667,0.1477832512315271,187,16,1.125,1.0625,87,187,1.0,6.766666666666667,0.9211822660098522
50,3,25,25,30,2,"0,20;48,18;0,30",30;30;30,30,30,545304,12500,1,3,44,30,14,1.466666666666667,0.6818181818181818,27,17,0.2352941176470588,0.1764705882352941,8,27,1.0,1.4666666666666666,0.6136363636363636
50,3,25,25,30,2,"0,20;48,18;0,30",30;30;30,30,30,545305,12500,1,2,67,30,37,2.233333333333333,0.4477611940298508,62,5,1.4,1.2,19,62,1.0,2.2333333333333334,0.9253731343283582
50,3,25,25,30,2,"0,20;48,18;0,30",30;30;30,30,30,545306,12500,1,3,75,30,45,2.5,0.4,65,10,1.2,1.1,23,65,1.0,2.5,0.8666666666666667
50,3,25,25,30,2,"0,20;48,18;0,30",30;30;30,30,30,545307,12500,1,3,75,30,45,2.5,0.4,65,10,1.2,1.1,23,65,1.0,2.5,0.8666666666666667
50,3,25,25,30,2,"0,20;48,18;0,30",30;30;30,30,30,545308,12500,1,1,273,30,243,9.1,0.1098901098901099,258,15,1.133333333333333,1.066666666666667,122,258,1.0,9.1,0.945054945054945
50,3,25,25,30,2,"0,20;48,18;0,30",30;30;30,30,30,545309,12500,1,1,29,30,-1,0.9666666666666667,1.03448275862069,26,3,1.666666666666667,1.333333333333333,0,26,1.0,0.9666666666666667,0.896551724137931
50,3,25,25,30,2,"0,20;48,18;0,30",30;30;30,30,30,545310,12500,1,1,275,30,245,9.166666666666666,0.1090909090909091,257,18,1.111111111111111,1.055555555555556,123,257,1.0,9.166666666666666,0.9345454545454546
50,3,25,25,40,3,"0,10;48,8;0,40",40;40;40,40,40,545401,12500,1,2,57,40,17,1.425,0.7017543859649122,52,5,1.4,1.2,9,52,1.0,1.425,0.9122807017543859
50,3,25,25,40,3,"0,10;48,8;0,40",40;40;40,40,40,545402,12500,1,3,347,40,307,8.675,0.1152737752161383,323,24,1.083333333333333,1.041666666666667,154,323,1.0,8.675,0.930835734870317
50,3,25,25,40,3,"0,10;48,8;0,40",40;40;40,40,40,545403,12500,1,1,39,40,-1,0.975,1.025641025641026,36,3,1.666666666666667,1.333333333333333,0,36,1.0,0.975,0.9230769230769231
50,3,25,25,40,3,"0,10;48,8;0,40",40;40;40,40,40,545404,12500,1,1,39,40,-1,0.975,1.025641025641026,36,3,1.666666666666667,1.333333333333333,0,36,1.0,0.975,0.9230769230769231
50,3,25,25,40,3,"0,10;48,8;0,40",40;40;40,40,40,545405,12500,1,1,39,40,-1,0.975,1.025641025641026,36,3,1.666666666666667,1.333333333333333,0,36,1.0,0.975,0.9230769230769231
50,3,25,25,40,3,"0,10;48,8;0,40",40;40;40,40,40,545406,12500,1,2,57,40,17,1.425,0.7017543859649122,53,4,1.5,1.25,9,53,1.0,1.425,0.9298245614035088
50,3,25,25,40,3,"0,10;48,8;0,40",40;40;40,40,40,545407,12500,1,1,379,40,339,9.475,0.1055408970976253,355,24,1.083333333333333,1.041666666666667,170,355,1.0,9.475,0.9366754617414248
50,3,25,25,40,3,"0,10;48,8;0,40",40;40;40,40,40,545408,12500,1,3,105,40,65,2.625,0.3809523809523809,99,6,1.333333333333333,1.166666666666667,33,99,1.0,2.625,0.9428571428571428
50,3,25,25,40,3,"0,10;48,8;0,40",40;40;40,40,40,545409,12500,1,1,39,40,-1,0.975,1.025641025641026,36,3,1.666666666666667,1.333333333333333,0,36,1.0,0.975,0.9230769230769231
50,3,25,25,40,3,"0,10;48,8;0,40",40;40;40,40,40,545410,12500,1,2,57,40,17,1.425,0.7017543859649122,53,4,1.5,1.25,9,53,1.0,1.425,0.9298245614035088
50,3,25,25,50,4,"0,1;1,0;0,49",49;49;49,49,49,545501,12500,1,2,96,49,47,1.959183673469388,0.5104166666666666,89,7,1.285714285714286,1.142857142857143,24,89,1.0,1.9591836734693877,0.9270833333333334
50,3,25,25,50,4,"0,1;1,0;0,49",49;49;49,49,49,545502,12500,1,1,48,49,-1,0.9795918367346939,1.020833333333333,43,5,1.4,1.2,0,43,1.0,0.9795918367346939,0.8958333333333334
50,3,25,25,50,4,"0,1;1,0;0,49",49;49;49,49,49,545503,12500,1,1,48,49,-1,0.9795918367346939,1.020833333333333,43,5,1.4,1.2,0,43,1.0,0.9795918367346939,0.8958333333333334
50,3,25,25,50,4,"0,1;1,0;0,49",49;49;49,49,49,545504,12500,1,1,48,49,-1,0.9795918367346939,1.020833333333333,43,5,1.4,1.2,0,43,1.0,0.9795918367346939,0.8958333333333334
50,3,25,25,50,4,"0,1;1,0;0,49",49;49;49,49,49,545505,12500,1,1,48,49,-1,0.9795918367346939,1.020833333333333,43,5,1.4,1.2,0,43,1.0,0.9795918367346939,0.8958333333333334
50,3,25,25,50,4,"0,1;1,0;0,49",49;49;49,49,49,545506,12500,1,2,96,49,47,1.959183673469388,0.5104166666666666,89,7,1.285714285714286,1.142857142857143,24,89,1.0,1.9591836734693877,0.9270833333333334
50,3,25,25,50,4,"0,1;1,0;0,49",49;49;49,49,49,545507,12500,1,1,48,49,-1,0.9795918367346939,1.020833333333333,43,5,1.4,1.2,0,43,1.0,0.9795918367346939,0.8958333333333334
50,3,25,25,50,4,"0,1;1,0;0,49",49;49;49,49,49,545508,12500,1,2,96,49,47,1.959183673469388,0.5104166666666666,89,7,1.285714285714286,1.142857142857143,24,89,1.0,1.9591836734693877,0.9270833333333334
50,3,25,25,50,4,"0,1;1,0;0,49",49;49;49,49,49,545509,12500,1,1,48,49,-1,0.9795918367346939,1.020833333333333,43,5,1.4,1.2,0,43,1.0,0.9795918367346939,0.8958333333333334
50,3,25,25,50,4,"0,1;1,0;0,49",49;49;49,49,49,545510,12500,1,1,48,49,-1,0.9795918367346939,1.020833333333333,43,5,1.4,1.2,0,43,1.0,0.9795918367346939,0.8958333333333334
100,1,50,50,20,1,"31,49",20,20,20,1043201,50000,1,1,19,20,-1,0.95,1.052631578947368,16,3,1.666666666666667,1.333333333333333,0,16,1.0,0.95,0.8421052631578947
100,1,50,50,20,1,"31,49",20,20,20,1043202,50000,1,1,827,20,807,41.35,0.02418379685610641,793,34,1.058823529411765,1.029411764705882,404,793,1.0,41.35,0.9588875453446191
100,1,50,50,20,1,"31,49",20,20,20,1043203,50000,1,1,827,20,807,41.35,0.02418379685610641,793,34,1.058823529411765,1.029411764705882,404,793,1.0,41.35,0.9588875453446191
100,1,50,50,20,1,"31,49",20,20,20,1043204,50000,1,1,849,20,829,42.45,0.02355712603062426,809,40,1.05,1.025,415,809,1.0,42.45,0.9528857479387515
100,1,50,50,20,1,"31,49",20,20,20,1043205,50000,1,1,19,20,-1,0.95,1.052631578947368,16,3,1.666666666666667,1.333333333333333,0,16,1.0,0.95,0.8421052631578947
100,1,50,50,20,1,"31,49",20,20,20,1043206,50000,1,1,475,20,455,23.75,0.04210526315789474,460,15,1.133333333333333,1.066666666666667,228,460,1.0,23.75,0.968421052631579
100,1,50,50,20,1,"31,49",20,20,20,1043207,50000,1,1,19,20,-1,0.95,1.052631578947368,16,3,1.666666666666667,1.333333333333333,0,16,1.0,0.95,0.8421052631578947
100,1,50,50,20,1,"31,49",20,20,20,1043208,50000,1,1,851,20,831,42.55,0.02350176263219741,815,36,1.055555555555556,1.027777777777778,416,815,1.0,42.55,0.9576968272620446
100,1,50,50,20,1,"31,49",20,20,20,1043209,50000,1,1,19,20,-1,0.95,1.052631578947368,16,3,1.666666666666667,1.333333333333333,0,16,1.0,0.95,0.8421052631578947
100,1,50,50,20,1,"31,49",20,20,20,1043210,50000,1,1,19,20,-1,0.95,1.052631578947368,16,3,1.666666666666667,1.333333333333333,0,16,1.0,0.95,0.8421052631578947
100,1,50,50,30,2,"21,49",30,30,30,1043301,50000,1,1,1997,30,1967,66.56666666666666,0.01502253380070105,1943,54,1.037037037037037,1.018518518518519,984,1943,1.0,66.56666666666666,0.9729594391587381
100,1,50,50,30,2,"21,49",30,30,30,1043302,50000,1,1,467,30,437,15.56666666666667,0.06423982869379015,450,17,1.117647058823529,1.058823529411765,219,450,1.0,15.566666666666666,0.9635974304068522
100,1,50,50,30,2,"21,49",30,30,30,1043303,50000,1,1,29,30,-1,0.9666666666666667,1.03448275862069,26,3,1.666666666666667,1.333333333333333,0,26,1.0,0.9666666666666667,0.896551724137931
100,1,50,50,30,2,"21,49",30,30,30,1043304,50000,1,1,467,30,437,15.56666666666667,0.06423982869379015,450,17,1.117647058823529,1.058823529411765,219,450,1.0,15.566666666666666,0.9635974304068522
