grid_size,n_search_robots,requested_distance_shell,runs,found_mean,found_ci95,steps_to_target_mean,steps_to_target_ci95,time_to_attractive_detection_mean,time_to_attractive_detection_ci95,time_from_detection_to_target_mean,time_from_detection_to_target_ci95,path_efficiency_mean,path_efficiency_ci95,post_detection_path_efficiency_mean,post_detection_path_efficiency_ci95,convergence_rate_mean,convergence_rate_ci95,stagnation_count_mean,stagnation_count_ci95,post_detection_stagnation_count_mean,post_detection_stagnation_count_ci95,final_distance_mean,final_distance_ci95
50,3,40,30,0.3333333333333333,0.17157373893670413,115.8,81.81277809459569,113.13333333333334,61.99801396102226,7.9,5.2952253545581565,0.6809594313724983,0.2279777508088416,1.4566666666666666,0.142740001920093,1.2283333333333333,0.07137000096004645,46.46666666666667,22.862302112204965,0.0,0.0,17.566666666666666,6.020025946660648
50,3,50,30,0.3333333333333333,0.17157373893670413,62.4,14.370957379381512,56.8,9.478655734138455,5.6,0.5987898908075631,0.8677083333333332,0.15281617004984682,1.3657142857142859,0.034216565189003546,1.1828571428571426,0.017108282594501808,14.566666666666666,5.40227101954191,0.0,0.0,16.3,7.658312565854297
100,1,20,10,1.0,0.0,392.4,253.07812662496139,375.0,242.96921191331583,17.4,10.227118981740002,0.5400689640269771,0.3348912475813755,1.368986928104575,0.19501680486275297,1.1844934640522875,0.09750840243137647,186.7,126.53906331248069,0.0,0.0,1.0,0.0
100,1,30,10,1.0,0.0,662.4,388.92952539331156,638.5,377.3550909274829,23.9,12.094433540545278,0.33974264814694266,0.2973433061788347,1.254785563020857,0.17745786109579748,1.1273927815104288,0.08872893054789868,316.7,194.46476269665578,0.0,0.0,1.0,0.0
100,1,40,10,1.0,0.0,892.6,579.4442909685107,857.9,566.9979935986447,34.7,13.086415076542373,0.3109173830062991,0.21608861895711812,0.7428174603174604,0.26166871997307145,0.7021587301587301,0.2661210528971012,426.9,289.6602460017214,3.6,2.996799477961632,1.0,0.0
100,1,50,10,1.0,0.0,1205.6,606.7640152869244,1168.8,589.6421324551206,36.8,17.136274507605204,0.24937424487343335,0.2531019837072541,1.1369988479262674,0.09095877304600139,1.0684994239631336,0.045479386523000695,578.3,303.3820076434622,0.0,0.0,1.0,0.0
100,2,20,20,0.5,0.22482741919315047,178.6,167.7067853076381,171.7,163.70219389556826,6.9,4.021583767621904,0.7487320895972073,0.303320065639758,1.5055555555555553,0.1610590635384231,1.2527777777777778,0.08052953176921152,90.15,58.5300134092263,0.0,0.0,22.15,10.167843335991321
100,2,30,20,0.5,0.22482741919315047,381.0,279.42815383485527,353.72727272727275,246.76336891982396,13.3,8.647971733944965,0.45653610213691864,0.3088751070180044,1.3449675324675323,0.17352783236779243,1.1724837662337664,0.08676391618389619,187.85,96.26702378062254,0.0,0.0,25.15,12.025451001499846
100,2,40,20,0.5,0.22482741919315047,246.2,184.20357654146312,227.63636363636363,166.44800922969586,18.2,2.7687770264544995,0.47677366498351725,0.20644432964372147,0.6152056277056277,0.273910423207739,0.5571028138528138,0.2706850051848556,123.35,63.62501165091404,2.5,1.7788381779009284,40.8,19.87179341362234
100,2,50,20,0.5,0.22482741919315047,107.8,58.68140929914118,131.84615384615384,53.686373502060675,6.7,1.704937144491452,0.7755102040816325,0.2444040370643114,1.3363636363636364,0.06358203741697535,1.168181818181818,0.03179101870848771,46.25,17.750761911001245,0.0,0.0,35.15,20.738924963256384
100,3,20,30,0.3333333333333333,0.17157373893670413,144.2,147.59110901255383,123.75,117.84699881754744,8.5,6.835065796643398,0.6698384350874568,0.3070351888917395,1.5052631578947366,0.18921309204155184,1.2526315789473685,0.09460654602077588,75.03333333333333,41.81799546566387,0.0,0.0,26.333333333333332,7.878392585534232
100,3,30,30,0.3333333333333333,0.17157373893670413,151.0,148.82239258032823,128.5,113.95142883410166,11.4,12.899652639595464,0.6777837967248523,0.28693711572313163,1.4207142857142856,0.24382066775540454,1.1817857142857142,0.17248019710987608,78.8,42.7130126620292,0.6666666666666666,1.3066666666666669,37.2,11.019683187969534
100,3,40,30,0.3333333333333333,0.17157373893670413,371.8,319.2126494179772,297.0833333333333,265.5282672600818,22.5,10.223153242626376,0.46012118683306336,0.24296056865899768,0.9114652014652014,0.3206424110029752,0.8237326007326008,0.2883454395859789,188.53333333333333,89.30710929692653,1.3666666666666667,1.2234182124708477,45.7,14.031905208136028
100,3,50,30,0.3333333333333333,0.17157373893670413,58.8,19.208,58.46153846153846,19.189395329104222,5.4,0.7839999999999999,0.9523809523809522,0.13333333333333328,1.3822222222222222,0.0348444444444444,1.1911111111111108,0.017422222222222204,32.13333333333333,9.467108696171929,0.0,0.0,56.03333333333333,17.444033750882152
