grid_size,n_search_robots,requested_distance_shell,spawn_position_id,algorithm_seed,target_x,target_y,search_robot_id,search_start_x,search_start_y,initial_distance,time_to_attractive_detection,distance_at_detection,mode_switch_step,found,steps_to_target,time_from_detection_to_target,path_efficiency,post_detection_path_efficiency,convergence_rate,stagnation_count,post_detection_stagnation_count,final_distance
50,2,20,1,544207,25,25,1,6,24,20,16.0,5.0,16.0,1,19.0,3.0,1.0526315789473684,1.6666666666666667,1.3333333333333333,0,0,1
50,2,20,1,544207,25,25,2,5,25,20,,,,0,,,,,,18,0,38
50,2,20,1,544208,25,25,1,6,24,20,16.0,5.0,16.0,1,19.0,3.0,1.0526315789473684,1.6666666666666667,1.3333333333333333,0,0,1
50,2,20,1,544208,25,25,2,5,25,20,,,,0,,,,,,18,0,38
50,2,20,1,544209,25,25,1,6,24,20,111.0,14.0,111.0,1,123.0,12.0,0.16260162601626016,1.1666666666666667,1.0833333333333333,52,0,1
50,2,20,1,544209,25,25,2,5,25,20,111.0,16.0,111.0,0,,,,,,54,1,6
50,2,20,1,544210,25,25,1,6,24,20,16.0,5.0,16.0,1,19.0,3.0,1.0526315789473684,1.6666666666666667,1.3333333333333333,0,0,1
50,2,20,1,544210,25,25,2,5,25,20,,,,0,,,,,,18,0,38
50,2,30,2,544301,25,25,1,0,20,30,,,,0,,,,,,69,0,47
50,2,30,2,544301,25,25,2,0,30,30,110.0,13.0,110.0,1,121.0,11.0,0.24793388429752067,1.1818181818181819,1.0909090909090908,46,0,1
50,2,30,2,544302,25,25,1,0,20,30,155.0,12.0,155.0,1,165.0,10.0,0.18181818181818182,1.2,1.1,68,0,1
50,2,30,2,544302,25,25,2,0,30,30,,,,0,,,,,,90,0,46
50,2,30,2,544303,25,25,1,0,20,30,107.0,12.0,107.0,0,,,,,,44,0,3
50,2,30,2,544303,25,25,2,0,30,30,107.0,10.0,107.0,1,115.0,8.0,0.2608695652173913,1.25,1.125,43,0,1
50,2,30,2,544304,25,25,1,0,20,30,471.0,24.0,471.0,1,495.0,24.0,0.06060606060606061,1.0,0.9583333333333334,233,1,1
50,2,30,2,544304,25,25,2,0,30,30,484.0,21.0,484.0,0,,,,,,237,0,10
50,2,30,2,544305,25,25,1,0,20,30,393.0,30.0,393.0,1,424.0,31.0,0.07075471698113207,0.967741935483871,0.9354838709677419,198,2,1
50,2,30,2,544305,25,25,2,0,30,30,,,,0,,,,,,213,0,33
50,2,30,2,544306,25,25,1,0,20,30,,,,0,,,,,,24,0,29
50,2,30,2,544306,25,25,2,0,30,30,27.0,4.0,27.0,1,49.0,22.0,0.6122448979591837,0.18181818181818182,0.13636363636363635,10,10,1
50,2,30,2,544307,25,25,1,0,20,30,,,,0,,,,,,69,0,47
50,2,30,2,544307,25,25,2,0,30,30,110.0,13.0,110.0,1,121.0,11.0,0.24793388429752067,1.1818181818181819,1.0909090909090908,46,0,1
50,2,30,2,544308,25,25,1,0,20,30,26.0,5.0,26.0,1,29.0,3.0,1.0344827586206897,1.6666666666666667,1.3333333333333333,0,0,1
50,2,30,2,544308,25,25,2,0,30,30,26.0,5.0,26.0,0,,,,,,0,0,2
50,2,30,2,544309,25,25,1,0,20,30,,,,0,,,,,,24,0,34
50,2,30,2,544309,25,25,2,0,30,30,27.0,4.0,27.0,1,44.0,17.0,0.6818181818181818,0.23529411764705882,0.17647058823529413,8,8,1
50,2,30,2,544310,25,25,1,0,20,30,107.0,12.0,107.0,0,,,,,,44,0,3
50,2,30,2,544310,25,25,2,0,30,30,107.0,10.0,107.0,1,115.0,8.0,0.2608695652173913,1.25,1.125,43,0,1
50,2,40,3,544401,25,25,1,0,10,40,155.0,16.0,155.0,1,169.0,14.0,0.23668639053254437,1.1428571428571428,1.0714285714285714,65,0,1
50,2,40,3,544401,25,25,2,0,40,40,,,,0,,,,,,79,0,30
50,2,40,3,544402,25,25,1,0,10,40,159.0,16.0,159.0,1,173.0,14.0,0.23121387283236994,1.1428571428571428,1.0714285714285714,67,0,1
50,2,40,3,544402,25,25,2,0,40,40,,,,0,,,,,,86,0,40
50,2,40,3,544403,25,25,1,0,10,40,99.0,10.0,99.0,0,,,,,,34,0,3
50,2,40,3,544403,25,25,2,0,40,40,99.0,8.0,99.0,1,105.0,6.0,0.38095238095238093,1.3333333333333333,1.1666666666666667,33,0,1
50,2,40,3,544404,25,25,1,0,10,40,,,,0,,,,,,133,0,25
50,2,40,3,544404,25,25,2,0,40,40,259.0,24.0,259.0,1,281.0,22.0,0.1423487544483986,1.0909090909090908,1.0454545454545454,121,0,1
50,2,40,3,544405,25,25,1,0,10,40,36.0,5.0,36.0,0,,,,,,7,7,10
